"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"1" "NP3" 10 "e3" 10 "c" "NA" "der_Hausmeister" "RT" 1415 "ungram" "hi" -1 1 -1 "german" "spr"
"2" "NP3" 10 "e3" 11 "d" "NA" "der_Pförtner" "RT" 740 "ungram" "lo" -1 -1 1 "german" "spr"
"3" "NP3" 10 "e3" 9 "b" "NA" "der_Kunde" "RT" 731 "gram" "lo" 1 -1 -1 "german" "spr"
"4" "NP3" 10 "e3" 4 "a" "NA" "der_Bauer" "RT" 1252 "gram" "hi" 1 1 1 "german" "spr"
"5" "NP3" 10 "e3" 6 "c" "NA" "der_Mann" "RT" 691 "ungram" "hi" -1 1 -1 "german" "spr"
"6" "NP3" 10 "e3" 12 "a" "NA" "der_Zuschauer" "RT" 1037 "gram" "hi" 1 1 1 "german" "spr"
"7" "NP3" 10 "e3" 1 "b" "NA" "der_Spion" "RT" 1200 "gram" "lo" 1 -1 -1 "german" "spr"
"8" "NP3" 10 "e3" 8 "a" "NA" "der_Vorarbeiter" "RT" 1150 "gram" "hi" 1 1 1 "german" "spr"
"9" "NP3" 10 "e3" 3 "d" "NA" "der_Musiker" "RT" 609 "ungram" "lo" -1 -1 1 "german" "spr"
"10" "NP3" 10 "e3" 2 "c" "NA" "der_Besucher" "RT" 558 "ungram" "hi" -1 1 -1 "german" "spr"
"11" "NP3" 10 "e3" 7 "d" "NA" "der_Psychiater" "RT" 965 "ungram" "lo" -1 -1 1 "german" "spr"
"12" "NP3" 10 "e3" 5 "b" "NA" "der_Zuschauer" "RT" 690 "gram" "lo" 1 -1 -1 "german" "spr"
"13" "NP3" 100 "e3" 11 "b" "NA" "der_Pförtner" "RT" 717 "gram" "lo" 1 -1 -1 "german" "spr"
"14" "NP3" 100 "e3" 5 "d" "NA" "der_Zuschauer" "RT" 885 "ungram" "lo" -1 -1 1 "german" "spr"
"15" "NP3" 100 "e3" 12 "c" "NA" "der_Zuschauer" "RT" 709 "ungram" "hi" -1 1 -1 "german" "spr"
"16" "NP3" 100 "e3" 7 "b" "NA" "der_Psychiater" "RT" 629 "gram" "lo" 1 -1 -1 "german" "spr"
"17" "NP3" 100 "e3" 9 "d" "NA" "der_Kunde" "RT" 501 "ungram" "lo" -1 -1 1 "german" "spr"
"18" "NP3" 100 "e3" 4 "c" "NA" "der_Bauer" "RT" 445 "ungram" "hi" -1 1 -1 "german" "spr"
"19" "NP3" 100 "e3" 6 "a" "NA" "der_Mann" "RT" 966 "gram" "hi" 1 1 1 "german" "spr"
"20" "NP3" 100 "e3" 8 "c" "NA" "der_Vorarbeiter" "RT" 709 "ungram" "hi" -1 1 -1 "german" "spr"
"21" "NP3" 100 "e3" 1 "d" "NA" "der_Spion" "RT" 877 "ungram" "lo" -1 -1 1 "german" "spr"
"22" "NP3" 100 "e3" 10 "a" "NA" "der_Hausmeister" "RT" 1253 "gram" "hi" 1 1 1 "german" "spr"
"23" "NP3" 100 "e3" 2 "a" "NA" "der_Besucher" "RT" 637 "gram" "hi" 1 1 1 "german" "spr"
"24" "NP3" 100 "e3" 3 "b" "NA" "der_Musiker" "RT" 901 "gram" "lo" 1 -1 -1 "german" "spr"
"25" "NP3" 101 "e3" 10 "b" "NA" "der_Hausmeister" "RT" 884 "gram" "lo" 1 -1 -1 "german" "spr"
"26" "NP3" 101 "e3" 5 "a" "NA" "der_Zuschauer" "RT" 874 "gram" "hi" 1 1 1 "german" "spr"
"27" "NP3" 101 "e3" 8 "d" "NA" "der_Vorarbeiter" "RT" 864 "ungram" "lo" -1 -1 1 "german" "spr"
"28" "NP3" 101 "e3" 7 "c" "NA" "der_Psychiater" "RT" 1325 "ungram" "hi" -1 1 -1 "german" "spr"
"29" "NP3" 101 "e3" 11 "c" "NA" "der_Pförtner" "RT" 654 "ungram" "hi" -1 1 -1 "german" "spr"
"30" "NP3" 101 "e3" 4 "d" "NA" "der_Bauer" "RT" 756 "ungram" "lo" -1 -1 1 "german" "spr"
"31" "NP3" 101 "e3" 6 "b" "NA" "der_Mann" "RT" 454 "gram" "lo" 1 -1 -1 "german" "spr"
"32" "NP3" 101 "e3" 1 "a" "NA" "der_Spion" "RT" 792 "gram" "hi" 1 1 1 "german" "spr"
"33" "NP3" 101 "e3" 2 "b" "NA" "der_Besucher" "RT" 1192 "gram" "lo" 1 -1 -1 "german" "spr"
"34" "NP3" 101 "e3" 12 "d" "NA" "der_Zuschauer" "RT" 1115 "ungram" "lo" -1 -1 1 "german" "spr"
"35" "NP3" 101 "e3" 9 "a" "NA" "der_Kunde" "RT" 572 "gram" "hi" 1 1 1 "german" "spr"
"36" "NP3" 101 "e3" 3 "c" "NA" "der_Musiker" "RT" 833 "ungram" "hi" -1 1 -1 "german" "spr"
"37" "NP3" 102 "e3" 9 "b" "NA" "der_Kunde" "RT" 910 "gram" "lo" 1 -1 -1 "german" "spr"
"38" "NP3" 102 "e3" 8 "a" "NA" "der_Vorarbeiter" "RT" 720 "gram" "hi" 1 1 1 "german" "spr"
"39" "NP3" 102 "e3" 1 "b" "NA" "der_Spion" "RT" 505 "gram" "lo" 1 -1 -1 "german" "spr"
"40" "NP3" 102 "e3" 6 "c" "NA" "der_Mann" "RT" 300 "ungram" "hi" -1 1 -1 "german" "spr"
"41" "NP3" 102 "e3" 10 "c" "NA" "der_Hausmeister" "RT" 1110 "ungram" "hi" -1 1 -1 "german" "spr"
"42" "NP3" 102 "e3" 7 "d" "NA" "der_Psychiater" "RT" 408 "ungram" "lo" -1 -1 1 "german" "spr"
"43" "NP3" 102 "e3" 2 "c" "NA" "der_Besucher" "RT" 285 "ungram" "hi" -1 1 -1 "german" "spr"
"44" "NP3" 102 "e3" 11 "d" "NA" "der_Pförtner" "RT" 2340 "ungram" "lo" -1 -1 1 "german" "spr"
"45" "NP3" 102 "e3" 4 "a" "NA" "der_Bauer" "RT" 1166 "gram" "hi" 1 1 1 "german" "spr"
"46" "NP3" 102 "e3" 3 "d" "NA" "der_Musiker" "RT" 613 "ungram" "lo" -1 -1 1 "german" "spr"
"47" "NP3" 102 "e3" 12 "a" "NA" "der_Zuschauer" "RT" 1468 "gram" "hi" 1 1 1 "german" "spr"
"48" "NP3" 102 "e3" 5 "b" "NA" "der_Zuschauer" "RT" 357 "gram" "lo" 1 -1 -1 "german" "spr"
"49" "NP3" 103 "e3" 4 "b" "NA" "der_Bauer" "RT" 890 "gram" "lo" 1 -1 -1 "german" "spr"
"50" "NP3" 103 "e3" 2 "d" "NA" "der_Besucher" "RT" 495 "ungram" "lo" -1 -1 1 "german" "spr"
"51" "NP3" 103 "e3" 11 "a" "NA" "der_Pförtner" "RT" 603 "gram" "hi" 1 1 1 "german" "spr"
"52" "NP3" 103 "e3" 9 "c" "NA" "der_Kunde" "RT" 767 "ungram" "hi" -1 1 -1 "german" "spr"
"53" "NP3" 103 "e3" 8 "b" "NA" "der_Vorarbeiter" "RT" 649 "gram" "lo" 1 -1 -1 "german" "spr"
"54" "NP3" 103 "e3" 3 "a" "NA" "der_Musiker" "RT" 613 "gram" "hi" 1 1 1 "german" "spr"
"55" "NP3" 103 "e3" 6 "d" "NA" "der_Mann" "RT" 469 "ungram" "lo" -1 -1 1 "german" "spr"
"56" "NP3" 103 "e3" 1 "c" "NA" "der_Spion" "RT" 772 "ungram" "hi" -1 1 -1 "german" "spr"
"57" "NP3" 103 "e3" 12 "b" "NA" "der_Zuschauer" "RT" 428 "gram" "lo" 1 -1 -1 "german" "spr"
"58" "NP3" 103 "e3" 7 "a" "NA" "der_Psychiater" "RT" 1166 "gram" "hi" 1 1 1 "german" "spr"
"59" "NP3" 103 "e3" 10 "d" "NA" "der_Hausmeister" "RT" 423 "ungram" "lo" -1 -1 1 "german" "spr"
"60" "NP3" 103 "e3" 5 "c" "NA" "der_Zuschauer" "RT" 1182 "ungram" "hi" -1 1 -1 "german" "spr"
"61" "NP3" 104 "e3" 3 "b" "NA" "der_Musiker" "RT" 1125 "gram" "lo" 1 -1 -1 "german" "spr"
"62" "NP3" 104 "e3" 11 "b" "NA" "der_Pförtner" "RT" 1207 "gram" "lo" 1 -1 -1 "german" "spr"
"63" "NP3" 104 "e3" 1 "d" "NA" "der_Spion" "RT" 982 "ungram" "lo" -1 -1 1 "german" "spr"
"64" "NP3" 104 "e3" 2 "a" "NA" "der_Besucher" "RT" 971 "gram" "hi" 1 1 1 "german" "spr"
"65" "NP3" 104 "e3" 8 "c" "NA" "der_Vorarbeiter" "RT" 1402 "ungram" "hi" -1 1 -1 "german" "spr"
"66" "NP3" 104 "e3" 12 "c" "NA" "der_Zuschauer" "RT" 1258 "ungram" "hi" -1 1 -1 "german" "spr"
"67" "NP3" 104 "e3" 9 "d" "NA" "der_Kunde" "RT" 690 "ungram" "lo" -1 -1 1 "german" "spr"
"68" "NP3" 104 "e3" 6 "a" "NA" "der_Mann" "RT" 556 "gram" "hi" 1 1 1 "german" "spr"
"69" "NP3" 104 "e3" 4 "c" "NA" "der_Bauer" "RT" 690 "ungram" "hi" -1 1 -1 "german" "spr"
"70" "NP3" 104 "e3" 10 "a" "NA" "der_Hausmeister" "RT" 874 "gram" "hi" 1 1 1 "german" "spr"
"71" "NP3" 104 "e3" 5 "d" "NA" "der_Zuschauer" "RT" 731 "ungram" "lo" -1 -1 1 "german" "spr"
"72" "NP3" 104 "e3" 7 "b" "NA" "der_Psychiater" "RT" 756 "gram" "lo" 1 -1 -1 "german" "spr"
"73" "NP3" 105 "e3" 3 "c" "NA" "der_Musiker" "RT" 1202 "ungram" "hi" -1 1 -1 "german" "spr"
"74" "NP3" 105 "e3" 11 "c" "NA" "der_Pförtner" "RT" 1069 "ungram" "hi" -1 1 -1 "german" "spr"
"75" "NP3" 105 "e3" 12 "d" "NA" "der_Zuschauer" "RT" 582 "ungram" "lo" -1 -1 1 "german" "spr"
"76" "NP3" 105 "e3" 9 "a" "NA" "der_Kunde" "RT" 1207 "gram" "hi" 1 1 1 "german" "spr"
"77" "NP3" 105 "e3" 10 "b" "NA" "der_Hausmeister" "RT" 2058 "gram" "lo" 1 -1 -1 "german" "spr"
"78" "NP3" 105 "e3" 6 "b" "NA" "der_Mann" "RT" 572 "gram" "lo" 1 -1 -1 "german" "spr"
"79" "NP3" 105 "e3" 2 "b" "NA" "der_Besucher" "RT" 1884 "gram" "lo" 1 -1 -1 "german" "spr"
"80" "NP3" 105 "e3" 1 "a" "NA" "der_Spion" "RT" 546 "gram" "hi" 1 1 1 "german" "spr"
"81" "NP3" 105 "e3" 5 "a" "NA" "der_Zuschauer" "RT" 649 "gram" "hi" 1 1 1 "german" "spr"
"82" "NP3" 105 "e3" 7 "c" "NA" "der_Psychiater" "RT" 705 "ungram" "hi" -1 1 -1 "german" "spr"
"83" "NP3" 105 "e3" 8 "d" "NA" "der_Vorarbeiter" "RT" 480 "ungram" "lo" -1 -1 1 "german" "spr"
"84" "NP3" 105 "e3" 4 "d" "NA" "der_Bauer" "RT" 562 "ungram" "lo" -1 -1 1 "german" "spr"
"85" "NP3" 106 "e3" 10 "c" "NA" "der_Hausmeister" "RT" 1674 "ungram" "hi" -1 1 -1 "german" "spr"
