"subj"	"expt"	"item"	"cond"	"roi"	"word"	"region"	"rt"
"1"	1	"practice"	1	"-"	"0"	"Dies"	"-"	864
"2"	1	"practice"	1	"-"	"1"	"ist"	"-"	632
"3"	1	"practice"	1	"-"	"2"	"ein"	"-"	474
"4"	1	"practice"	1	"-"	"3"	"sehr"	"-"	506
"5"	1	"practice"	1	"-"	"4"	"einfacher"	"-"	547
"6"	1	"practice"	1	"-"	"5"	"Übungssatz,"	"-"	539
"7"	1	"practice"	1	"-"	"6"	"damit"	"-"	478
"8"	1	"practice"	1	"-"	"7"	"du"	"-"	441
"9"	1	"practice"	1	"-"	"8"	"das"	"-"	425
"10"	1	"practice"	1	"-"	"9"	"wortweise"	"-"	579
"11"	1	"practice"	1	"-"	"10"	"Lesen"	"-"	514
"12"	1	"practice"	1	"-"	"11"	"üben"	"-"	449
"13"	1	"practice"	1	"-"	"12"	"kannst."	"-"	405
"14"	1	"practice"	2	"-"	"0"	"Das"	"-"	661
"15"	1	"practice"	2	"-"	"1"	"Stadtfest,"	"-"	954
"16"	1	"practice"	2	"-"	"2"	"welches"	"-"	535
"17"	1	"practice"	2	"-"	"3"	"im"	"-"	474
"18"	1	"practice"	2	"-"	"4"	"Mai"	"-"	478
"19"	1	"practice"	2	"-"	"5"	"stattfindet,"	"-"	791
"20"	1	"practice"	2	"-"	"6"	"ist"	"-"	466
"21"	1	"practice"	2	"-"	"7"	"sehr"	"-"	393
"22"	1	"practice"	2	"-"	"8"	"beliebt."	"-"	600
"23"	1	"practice"	2	"-"	"?"	"Y"	"1"	1847
"24"	1	"practice"	3	"-"	"0"	"Der"	"-"	635
"25"	1	"practice"	3	"-"	"1"	"Milchbauer"	"-"	554
"26"	1	"practice"	3	"-"	"2"	"bedauerte"	"-"	399
"27"	1	"practice"	3	"-"	"3"	"es"	"-"	481
"28"	1	"practice"	3	"-"	"4"	"sehr,"	"-"	436
"29"	1	"practice"	3	"-"	"5"	"dass"	"-"	420
"30"	1	"practice"	3	"-"	"6"	"die"	"-"	554
"31"	1	"practice"	3	"-"	"7"	"Hälfte"	"-"	456
"32"	1	"practice"	3	"-"	"8"	"seiner"	"-"	400
"33"	1	"practice"	3	"-"	"9"	"Milchkühe"	"-"	416
"34"	1	"practice"	3	"-"	"10"	"im_letzten_Jahr"	"-"	586
"35"	1	"practice"	3	"-"	"11"	"der"	"-"	428
"36"	1	"practice"	3	"-"	"12"	"Rinderpest"	"-"	595
"37"	1	"practice"	3	"-"	"13"	"zum_Opfer"	"-"	432
"38"	1	"practice"	3	"-"	"14"	"gefallen"	"-"	383
"39"	1	"practice"	3	"-"	"15"	"war,"	"-"	457
"40"	1	"practice"	3	"-"	"16"	"und"	"-"	436
"41"	1	"practice"	3	"-"	"17"	"er"	"-"	383
"42"	1	"practice"	3	"-"	"18"	"immer"	"-"	351
"43"	1	"practice"	3	"-"	"19"	"noch"	"-"	314
"44"	1	"practice"	3	"-"	"20"	"auf_die_Entschädigung"	"-"	810
"45"	1	"practice"	3	"-"	"21"	"aus"	"-"	371
"46"	1	"practice"	3	"-"	"22"	"Brüssel"	"-"	440
"47"	1	"practice"	3	"-"	"23"	"wartet,"	"-"	408
"48"	1	"practice"	3	"-"	"24"	"obwohl"	"-"	440
"49"	1	"practice"	3	"-"	"25"	"er"	"-"	387
"50"	1	"practice"	3	"-"	"26"	"sie"	"-"	452
"51"	1	"practice"	3	"-"	"27"	"sofort"	"-"	591
"52"	1	"practice"	3	"-"	"28"	"beantragt"	"-"	603
"53"	1	"practice"	3	"-"	"29"	"hatte."	"-"	473
"54"	1	"practice"	4	"-"	"0"	"Die"	"-"	624
"55"	1	"practice"	4	"-"	"1"	"Sekretärin"	"-"	530
"56"	1	"practice"	4	"-"	"2"	"wird"	"-"	766
"57"	1	"practice"	4	"-"	"3"	"jetzt"	"-"	441
"58"	1	"practice"	4	"-"	"4"	"gleich"	"-"	469
"59"	1	"practice"	4	"-"	"5"	"ihrem_jungen_Chef"	"-"	896
"60"	1	"practice"	4	"-"	"6"	"den"	"-"	428
"61"	1	"practice"	4	"-"	"7"	"Brief"	"-"	546
"62"	1	"practice"	4	"-"	"8"	"tippen,"	"-"	420
"63"	1	"practice"	4	"-"	"9"	"obwohl"	"-"	501
"64"	1	"practice"	4	"-"	"10"	"dieser"	"-"	420
"65"	1	"practice"	4	"-"	"11"	"ihn"	"-"	412
"66"	1	"practice"	4	"-"	"12"	"erst"	"-"	453
"67"	1	"practice"	4	"-"	"13"	"morgen"	"-"	428
"68"	1	"practice"	4	"-"	"14"	"früh"	"-"	453
"69"	1	"practice"	4	"-"	"15"	"benötigt,"	"-"	441
"70"	1	"practice"	4	"-"	"16"	"wie"	"-"	453
"71"	1	"practice"	4	"-"	"17"	"er"	"-"	502
"72"	1	"practice"	4	"-"	"18"	"ihr"	"-"	416
"73"	1	"practice"	4	"-"	"19"	"bereits"	"-"	416
"74"	1	"practice"	4	"-"	"20"	"mehrmals"	"-"	437
"75"	1	"practice"	4	"-"	"21"	"gesagt"	"-"	619
"76"	1	"practice"	4	"-"	"22"	"hat."	"-"	465
"77"	1	"practice"	5	"-"	"0"	"Da"	"-"	1461
"78"	1	"practice"	5	"-"	"1"	"der"	"-"	530
"79"	1	"practice"	5	"-"	"2"	"zitterige"	"-"	440
"80"	1	"practice"	5	"-"	"3"	"Großvater"	"-"	501
"81"	1	"practice"	5	"-"	"4"	"seine_Rentenzahlung"	"-"	1346
"82"	1	"practice"	5	"-"	"5"	"verspätet"	"-"	648
"83"	1	"practice"	5	"-"	"6"	"erhalten_hatte,"	"-"	684
"84"	1	"practice"	5	"-"	"7"	"musste"	"-"	518
"85"	1	"practice"	5	"-"	"8"	"er"	"-"	457
"86"	1	"practice"	5	"-"	"9"	"am_Monatsende"	"-"	603
"87"	1	"practice"	5	"-"	"10"	"seinen"	"-"	603
"88"	1	"practice"	5	"-"	"11"	"Sohn"	"-"	514
"89"	1	"practice"	5	"-"	"12"	"um_Hilfe"	"-"	497
"90"	1	"practice"	5	"-"	"13"	"mit_der_Miete"	"-"	940
"91"	1	"practice"	5	"-"	"14"	"seiner"	"-"	505
